"Date","Open","High","Low","Close","Volume"
"04/2000","17.625","19.4063","17.2188","18.3438","692,000"
"03/2000","15.5625","17.875","14.8125","17.5625","876,400"
"02/2000","16.5938","17.1875","15.125","15.2188","352,200"
"01/2000","16.9375","17","14.5625","16.625","639,200"
"12/1999","17.9063","17.9063","16.5","17.0625","488,000"
"11/1999","19.1563","19.7813","17.4375","18","625,000"
"10/1999","17.375","19.0625","16.9063","19.0313","410,400"
"09/1999","17.6563","18.2813","16.75","17.5","276,400"
"08/1999","18.0625","18.625","16.75","17.5313","408,400"
"07/1999","18.375","19.625","17.8125","18.125","561,200"
"06/1999","19.25","19.2813","17.75","18.2813","556,800"
"05/1999","20.9688","21.0625","18.8438","19.125","703,600"
"04/1999","20.1875","23.0313","20.1563","20.9688","860,600"
"03/1999","20.5625","21.4063","19.9375","20.125","570,800"
"02/1999","22.125","22.6563","20.3125","20.6875","610,800"
"01/1999","20.0313","22.9688","20.0313","22","1,213,800"
"12/1998","20.875","21.9688","19.375","20.0625","956,800"
"11/1998","20.8125","22.5","18.0313","21.1875","866,200"
"10/1998","17.375","20.4688","16.7188","20.4375","1,200,800"
"09/1998","17.875","21.0313","16.8125","18","1,390,000"
"08/1998","24.5","24.5","17","17.5625","1,683,800"
"07/1998","27.9063","28.4375","24.3438","24.3438","734,400"
"06/1998","28","28.9375","26.375","27.8125","664,200"
"05/1998","27.4375","28.5","26.25","28.1875","831,200"
"04/1998","27","30.3438","26.2813","27.3125","1,133,600"
"03/1998","26.75","28.5","26.1875","26.9375","790,800"
"02/1998","23.1875","27.3125","23.1875","26.875","1,008,200"
"01/1998","22.2188","24.375","19.8125","23.0625","1,245,000"
"12/1997","21.5313","23.6563","20.9375","22.1875","451,400"
"11/1997","21.9375","23.8438","21.3438","21.4688","676,600"
"10/1997","21.3438","22.3125","19.4375","21.5625","604,800"
"09/1997","19.0938","21.6875","18.8125","21.3125","409,200"
"08/1997","20.9063","21.1875","19.0938","19.0938","558,600"
"07/1997","19.625","21.125","19.625","21","580,600"
"06/1997","19.125","20","18.875","19.5625","480,800"
"05/1997","18.125","19.9375","18.125","19","949,600"
"04/1997","17.625","18.1875","16.125","18.1875","977,600"
"03/1997","17.6875","20.375","17.5625","17.75","1,235,800"
"02/1997","17.375","18.8125","17.375","17.875","483,200"
"01/1997","16.0625","17.3125","15.5","17.3125","516,600"
"12/1996","16.125","16.25","14.375","15.9375","776,800"
"11/1996","15.25","17.125","15.125","16.25","1,291,000"
"10/1996","13.5625","15.4375","13.5","15.1875","883,800"
"09/1996","12.3125","13.8125","12.0625","13.5","637,800"
"08/1996","11.9375","12.4375","11.9375","12.375","330,200"
"07/1996","12.1875","12.5","11.75","11.9375","274,400"
"06/1996","11.875","12.3125","11.75","12.25","328,000"
"05/1996","12.0625","12.375","11.6875","12","310,000"
"04/1996","11.6875","12.125","11.5","12","214,000"
"03/1996","11.6875","11.9375","11.25","11.6875","314,800"
"02/1996","12.0625","12.3125","11.0625","11.625","265,800"
"01/1996","11.4375","12.1875","11.3125","12.125","454,800"
"12/1995","11.25","11.5","10.6875","11.3125","493,400"
"11/1995","11.1875","11.4375","11","11.375","246,000"
"10/1995","11","11.5625","10.1875","11.125","941,600"
"09/1995","11.0625","11.25","10.4375","10.9375","364,000"
"08/1995","10.4375","11.375","10.3125","11","268,200"
"07/1995","10.4375","11.1875","10.375","10.375","368,400"
"06/1995","10.4375","10.875","10.4375","10.5","318,200"
"05/1995","10.1875","10.75","10.125","10.5","262,600"
"04/1995","9.625","10.3125","9.4375","10.125","327,800"
"03/1995","9.75","9.8125","9.5","9.625","325,800"
"02/1995","9.125","9.9375","9.0625","9.75","1,564,400"
