"Date","Open","High","Low","Close","Volume"
"05/2004","22.325","22.5","20.815","21.675","2,289,600"
"04/2004","23.855","24.65","22.075","22.2","2,807,200"
"03/2004","23.815","24.065","22.725","23.85","3,824,800"
"02/2004","23.76","24.72","23.505","23.775","2,792,400"
"01/2004","24.015","24.575","23.56","23.76","3,098,000"
"12/2003","23.84","24.125","22.68","23.84","3,242,800"
"11/2003","23.99","25.025","23.905","23.94","2,438,100"
"10/2003","22.05","24.875","22","24.09","2,950,200"
"09/2003","21.46","22.275","21.325","21.945","2,228,600"
"08/2003","20.94","22.25","20.39","21.515","2,795,800"
"07/2003","21.2","21.75","20.695","20.99","2,607,400"
"06/2003","21.4","22.45","20.95","21.28","4,647,200"
"05/2003","20.925","22.7","20.905","21.475","5,743,200"
"04/2003","19.44","20.88","19.345","20.875","3,913,200"
"03/2003","19.625","20","18.64","19.345","4,388,000"
"02/2003","18.31","19.875","17.425","19.65","4,498,400"
"01/2003","18.255","19.19","17.955","18.25","3,775,200"
"12/2002","18.85","19.225","18.175","18.37","2,933,000"
"11/2002","17.51","18.925","17.295","18.85","1,728,200"
"10/2002","16.585","18.315","15.36","17.635","3,811,600"
"09/2002","17.85","17.85","15.635","16.55","1,679,400"
"08/2002","16.745","17.99","16.2","17.965","3,318,400"
"07/2002","17.275","17.785","14.16","16.75","3,418,000"
"06/2002","18.93","19.285","16.8","17.4","2,405,000"
"05/2002","17.465","19.18","17.01","19.155","3,262,600"
"04/2002","16.6","18.15","16.475","17.49","4,209,800"
"03/2002","15.805","16.935","15.805","16.675","2,926,600"
"02/2002","15.7","15.995","14.535","15.84","2,369,400"
"01/2002","16.165","16.34","15.37","15.735","3,045,200"
"12/2001","15.435","16.48","15.4","16.285","2,543,800"
"11/2001","14.815","15.72","14.675","15.635","2,230,400"
"10/2001","15.125","15.71","14.09","14.75","2,705,000"
"09/2001","16.165","16.28","13.45","15.25","2,283,800"
"08/2001","16.35","17.285","16.005","16.04","3,412,600"
"07/2001","15.825","16.775","15.63","16.61","3,858,800"
"06/2001","16.035","16.33","15.255","15.925","15,649,800"
"05/2001","14.2","16.155","13.955","15.875","5,884,800"
"04/2001","15.01","15.3","13.79","14.25","4,031,000"
"03/2001","15.28","16.125","14.275","15.02","5,842,200"
"02/2001","16.1","16.975","14.505","15.27","8,260,600"
"01/2001","16.8125","17.5625","16","16.06","4,279,000"
"12/2000","15.1565","16.969","14.625","16.9375","2,518,200"
"11/2000","15.7815","16.4375","14.9065","14.9375","799,000"
"10/2000","29.875","31.1565","13.4065","15.8125","831,200"
"09/2000","14.6563","32.3125","14.625","29.75","1,064,800"
"08/2000","13.375","15.0625","13.172","14.625","1,116,000"
"07/2000","12.9845","13.672","12.75","13.4063","627,600"
"06/2000","13.1095","13.8438","12.5158","12.922","920,800"
"05/2000","11.75","13.2033","11.6408","13.1095","538,800"
"04/2000","11.9688","13.0469","11.75","11.75","1,156,800"
"03/2000","10.6406","12.1094","9.75","12.0156","1,351,200"
"02/2000","10.25","10.9375","9.7969","10.6563","886,000"
"01/2000","11.0938","11.0938","9.5","10.3594","1,102,400"
"12/1999","11.2344","11.6563","10.6563","11.0313","1,608,400"
"11/1999","10.8594","11.7344","10.5","11.2656","1,446,800"
"10/1999","10.375","10.8906","10","10.7969","1,206,800"
"09/1999","10.7813","11.1406","10.0938","10.4063","1,863,200"
"08/1999","10.8125","11.5","10.0625","10.75","1,082,000"
"07/1999","11.1563","12.25","10.7344","10.875","1,739,600"
"06/1999","11.5625","11.7031","10.6406","11.0938","2,066,400"
"05/1999","12.2813","12.3906","11.1406","11.4219","1,722,400"
"04/1999","11.8125","13.3125","11.8125","12.2813","2,303,200"
"03/1999","12.125","12.4375","11.3125","11.7969","2,272,000"
"02/1999","13.0625","13.5625","11.9219","12.125","2,277,600"
"01/1999","12.5313","14","12.1875","12.8906","2,292,800"
"12/1998","12.2813","12.75","11.3906","12.5","2,042,000"
"11/1998","11.5625","13","10.5625","12.3906","2,805,200"
"10/1998","10.0781","11.5","9.5625","11.5","3,280,400"
"09/1998","9.4688","11.3594","9.3125","10.0781","3,997,200"
"08/1998","13.4375","13.4844","9.25","9.4063","7,433,600"
"07/1998","15.1094","15.5625","13.4063","13.5781","2,733,200"
"06/1998","15.0625","15.4531","14.2813","15.0938","2,474,800"
"05/1998","15.1563","15.625","14.4688","15.3125","1,823,600"
"04/1998","14.875","16.0938","14.3906","14.9531","2,405,600"
"03/1998","14.6094","15.4063","14.3438","14.7813","2,176,000"
"02/1998","13.3125","14.8438","13.3125","14.6094","2,562,400"
"01/1998","13.2969","13.9688","12.2969","13.0625","3,039,200"
"12/1997","13.4063","14.4844","12.8125","13.25","2,322,800"
"11/1997","13.3906","14.2656","12.7344","13.375","1,650,000"
"10/1997","12.3281","13.5938","12.2969","13.4219","2,803,200"
"09/1997","11.7188","12.4688","11.4219","12.2969","1,144,800"
"08/1997","11.9531","12.25","10.8594","11.75","2,520,800"
"07/1997","11.4063","12.3906","11.3438","12.0156","2,450,400"
"06/1997","10.8438","11.4688","10.625","11.3438","2,018,800"
"05/1997","10","11.1875","10","10.9063","2,508,800"
"04/1997","9.75","10","9.0313","9.9688","4,140,800"
"03/1997","10.0313","11.5625","9.625","9.75","6,252,800"
"02/1997","9.25","10.375","9.25","10.0938","3,894,400"
"01/1997","8.7813","9.5625","8.5938","9.2813","2,597,600"
"12/1996","9.125","9.1563","8.2813","8.75","1,856,800"
"11/1996","8.3125","9.375","8.3125","9.2813","2,403,200"
"10/1996","7.1563","8.25","7.1563","8.25","1,056,800"
"09/1996","6.2188","7.4063","6.2188","7.125","667,600"
"08/1996","6.125","6.4063","6.0938","6.2813","329,600"
"07/1996","6.0313","6.3438","6.0313","6.0938","386,400"
"06/1996","5.9375","6.0625","5.8438","6.0313","105,600"
"05/1996","5.9688","6.1875","5.9063","6","171,200"
"04/1996","5.875","6.0625","5.8125","5.9688","250,400"
"03/1996","5.8125","5.9375","5.625","5.875","159,200"
"02/1996","6.0313","6.0625","5.5938","5.75","254,400"
"01/1996","5.75","6.0313","5.6875","6.0313","363,600"
"12/1995","5.75","5.9375","5.4688","5.75","178,000"
"11/1995","0","5.8125","5.5625","5.75","380,400"
"10/1995","0","5.8438","5.125","5.625","720,800"
